ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME_FEIRA,REGISTRO,LOGRADOURO,NUMERO,BAIRRO,REFERENCIA
101,-46776546,-23645271,355030817000078,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM ROSANA,31038,RUA CARLOS NAHAS,,JD ROSANA
102,-46764843,-23660263,355030819000319,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO,40517,RUA PAULINO VITAL DE MORAES,,CAPAO REDONDO
103,-46753516,-23646780,355030846000278,3550308005229,45,JARDIM SAO LUIS,18,M'BOI MIRIM,Sul,Sul 2,VILA PRELL,40860,RUA THEREZA MAIA PINTO,,VL PRELL
104,-46791485,-23652744,355030819000175,3550308005296,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM MACEDONIA,41033,RUA AGOSTINHO PAIVA,,JD MACEDONIA
105,-46772418,-23633691,355030817000019,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,CAMPO LIMPO,50695,RUA MARTINHO VAZ DE BARROS,,CAMPO LIMPO
106,-46762128,-23633003,355030817000011,3550308005235,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM CATANDUVA,50733,RUA DR RENATO BUENO NETO,,JD CATANDUVA
107,-46749487,-23632508,355030817000144,3550308005233,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE REGINA,50890,RUA FRANCISCO SOARES,,PQ REGINA
108,-46772312,-23669599,355030819000012,3550308005231,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,CAPAO REDONDO,60739,AV ATHOS THOMAZ FERRACIO,,CAPAO REDONDO
109,-46756360,-23618433,355030817000135,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM UMARIZAL,60771,AV ANACE,,JD UMARIZAL
110,-46772023,-23654904,355030819000246,3550308005230,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM IPE,61018,RUA GASTAO RAUL DE FONTON BOSQUET,,JD IPE
111,-46790664,-23672189,355030819000136,3550308005297,19,CAPAO REDONDO,17,CAMPO LIMPO,Sul,Sul 2,PARQUE FERNANDA,61719,AV DR SALVADOR ROCCO,,PARQUE FERNANDA
112,-46782803,-23641800,355030817000245,3550308005236,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM MARIA SAMPAIO,70858,RUA ANTONIO VIEGAS DE ATAIDE,,JD MARIA SAMPAIO
113,-46719358,-23614821,355030883000014,3550308005175,85,VILA ANDRADE,17,CAMPO LIMPO,Sul,Sul 2,PARAIZOPOLIS,71234,RUA RUDOLF LOTZE,,PARAIZOPOLIS
114,-46767517,-23642551,355030817000037,3550308005237,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM UMUARAMA,71340,RUA ODEMIS,,JD UMUARAMA
115,-46759079,-23628473,355030817000057,3550308005234,17,CAMPO LIMPO,17,CAMPO LIMPO,Sul,Sul 2,JARDIM OLINDA,72419,RUA CARDOSO MOREIRA,,JARDIM OLINDA
116,-46686018,-23747262,355030830000052,3550308005283,30,GRAJAU,19,CAPELA DO SOCORRO,Sul,Sul 2,PARQUE GRAJAU,10715,RUA JOSE BEZERRA FILHO,,PQ GRAJAU
117,-46699724,-23712729,355030823000063,3550308005219,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,CIDADE DUTRA,10804,RUA NOSSA SENHORA DO OUTEIRO,,CID DUTRA
118,-46703115,-23726550,355030823000048,3550308005286,23,CIDADE DUTRA,19,CAPELA DO SOCORRO,Sul,Sul 2,JARDIM IPORANGA,10839,RUA ANTONIO PEREIRA TAQUES,,JD PRESIDENTE
